Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Category/Function Tags,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?
Vertex,https://vertex3d.com,"Des Moines, IA, USA",United States 🇺🇸,2018,25,"Vermeer, Cummins, large manufacturers John Deere, Caterpillar","Mature geometry and visualization technology, proven OEM usage","Not a venture scale growth startup, older product lineage",3D Collaboration & Visualization,Design,Secure Visualization,3D visualization engine,3D graphics and visualization,"Lightweight 3D,Embedded Visualization,Design Review,Supplier Collaboration,Work Instructions,Service Notices,Training,Optimizing Layout","OEM,Software,enterprise,Platform","Embedded Distribution,Integration with existing engineering tools,Scalable legacy CAD access,Industrial-scale rendering,Proven Methods",Discrete Manufacturing,"Industrial Equipment,Automotive,Aerospace & Defense,High Tech & Electronics",Design Intelligence (CAD),"3D Content, Concepting & Streaming",Startup Raisers,Series A,Early Stage,2021,$0.0,$0.0,$7000000.0,$38000000.0,"Here treated as an industrial/engineering‑software startup (not the tax giant); mid‑single‑digit ARR, early‑growth valuation.",Next Level Ventures,3.8,Consistent demand for embedded 3D across many industrial apps,4.1,Seasoned team with decades of execution track record,3.4,Technology solid but evolutionary rather than disruptive,4.0,Long term profitability implies efficient capital use,3.4,Stable OEM adoption but limited breakout growth,3.6,Enables many downstream industrial applications quietly but broadly,3.7,Moat comes from entrenched OEM integrations and switching costs,3.75,"Dan Murray (Founder and CEO) *
Katie Murray*
Lindsay Nicollela*",Need to organize podcast,checked
Propel Software,https://www.propelplm.com,"Redwood City, CA, USA ",United States 🇺🇸,2015,85,Powerside (renewables),"PLM/QMS/PIM on Salesforce platform, connects product and commercial teams, rapid no-code deployment; proven high ROI (186% ROI) ",Built on Salesforce (dependency/cost); may lack deep CAD modeling,PLM,Complete Lifecycle,PLM Automation,Cloud PLM/PIM/QMS (Product Success),Salesforce PLM,"PLM,no-code","cloud-native,SaaS,Platform,B2B,enterprise,Subscription,Cloud,Enterprise SaaS,Cloud SaaS,Software","cloud-native workflow,No-code workflows,rapid deployment,Workflow Efficiency,production software,Fast Adoption,Ease Of Use",Discrete Manufacturing,"High Tech & Electronics,Medical Devices,Consumer Goods,Industrial Equipment,Energy,Regulated Industries","Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Scaleup Expanders,Series B,Growth Stage,2021,$20000000.0,$46000000.0,$50000000.0,$450000000.0,"$48M total funding, solid growth","Norwest Venture Partners,Alumni Ventures,Salesforce Ventures,SignalFire,Ankona Capital Partners,Cloud Apps Capital Partners,Green D Ventures,TIFF Investment Management,Matt Holleran,Newth Morris,Sean Jacobsohn,Cindy Bolt,Chris Farmer,Bob Spinner",4.5,"Propel provides cloud-based product lifecycle management (PLM), quality, and commercialization solutions targeting manufacturers and product companies, especially in high-growth sectors like high-tech, medtech, and consumer goods. The global PLM market is projected to reach $60.4B by 2032, growing at a CAGR of 8.2% (Allied Market Research, 2023), driven by digital transformation and increasing complexity in product development. Propel’s focus on SaaS and integration with Salesforce positions it well within this expanding, multi-billion dollar market.",3.9,"Propel’s leadership includes CEO Ray Hein, co-founder of Centric Software (acquired by Dassault Systèmes), and other executives with backgrounds at Oracle, Salesforce, and Agile Software. The company is backed by investors like Norwest Venture Partners and Cloud Apps Capital Partners. Propel has announced partnerships with Salesforce and achieved significant customer traction with brands such as Formlabs and Desktop Metal. Recent press highlights product launches, including Propel’s Accelerated Value Services and new PLM features, indicating ongoing product innovation and market adoption.",3.7,"Propel offers a cloud-native product lifecycle management (PLM) platform built on Salesforce, enabling unified product, quality, and commercialization processes; its differentiation centers on deep Salesforce integration and configurability rather than proprietary algorithms or unique technical cores (see Product and Technology pages, 2024). Industry coverage (Forbes, May 2024) highlights Propel’s low-code extensibility and rapid deployment, but no evidence of patents or novel platform innovations beyond UX and workflow flexibility.",3.5,"$48M raised as of March 2024; Propel reported strong customer growth and product expansion milestones, including new enterprise logos and platform enhancements. While specific ARR or user numbers are not publicly disclosed, Propel’s funding cadence and milestone delivery are in line with sector norms for SaaS PLM companies. No notable capital efficiency (such as bootstrapping or unusually rapid revenue growth on low burn) has been publicly highlighted as of July 2025.",4.8,"Propel raised $20M in Series D funding in March 2024 (PRNewswire), has expanded its PLM and QMS platform with new AI features, and announced enterprise wins including customers like Vizio and Formlabs; recent partnerships and analyst recognition (Gartner, Forrester) further indicate strong market traction and ongoing growth momentum (company blog, 2024).",4.3,"Propel has demonstrated solid industry impact, particularly in the product lifecycle management (PLM) and product information management (PIM) sectors. Notable customers include Formlabs, Stryker, and Desktop Metal, as highlighted in Propel’s case studies and customer stories. Propel has been recognized in industry analyst reports, such as being named a “Visionary” in the 2023 Gartner Magic Quadrant for PLM for Discrete Manufacturers. The company has announced partnerships with Salesforce and compliance solution providers like Assent, expanding its ecosystem. Propel was also a winner of the 2023 SaaS Awards for Best SaaS Product for Supply Chain/Warehouse Management. While Propel is gaining traction and recognition, it is not yet considered a sector standard, which is reflected in the score.",4.5,"Propel positions itself as a cloud-native PLM, QMS, and PIM platform built on Salesforce, emphasizing rapid deployment and deep Salesforce integration (Product and About pages, July 2025), but similar cloud PLM solutions exist (e.g., Arena, Autodesk), and no unique IP, patents, or exclusive partnerships are publicly documented; the moat appears moderate, based mainly on integration and workflow differentiation rather than proprietary technology.",4.08,"Russ Meyercord (CEO)
Tom Shoemaker**
Erik Schrader**
","Interested, need to find a partner",checked
Endra,https://www.endra.ai/,"Stockholm, Sweden",Sweden 🇸🇪,2023,12,"Large MEP engineering/construction firms (pilots, letters of intent)

","Advanced proprietary AI for engineering automation, huge productivity gains

","Early-stage, few commercial deployments, complex GTM (needs customer buy-in)",AEC/BIM,Design,AEC/BIM,"MEP, Building Design Automation, Compliance","AI for MEP design, ConstructionTech, SaaS for built environment","automation,compliance,Automation,Compliance,Design automation,Design Automation","Software,enterprise,B2B,Industry-specific","Patented process,compliance orientation,Design Automation",Construction,"Architecture,General Contractors",Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Scaleup Expanders,Series B,Growth Stage,2025,$20000000.0,$23000000.0,$5000000.0,$150000000.0,"Scaling, burn typical for early AI SaaS, backed by top VCs","Notion Capital
Delin Ventures
Picus Capital
H&M CO:LAB
SHL Capital (Sebastian Siemiatkowski)
Norrsken VC",3.9,"MEP is fragmented, manual, aging processes; $79B MEP market, global expansion planned",4.1,"Deep domain + AI, hiring rapidly, Norrsken leads",3.7,"Endra has developed proprietary Thermo Acoustic Enhanced Ultrasound (TAEUS®) technology, which enables visualization of tissue composition beyond conventional ultrasound; the company holds multiple granted patents (see US Patent Nos. 10,251,653 and 10,918,294) and highlights its unique ability to non-invasively quantify fat in the liver, a capability validated by recent NIH grant awards and cited in MedTech Dive (March 2024) as a significant advance over standard imaging modalities.",4.0,Appropriate for GTM/AI R&D ramp,4.0,"Not revenue at scale yet, but early pilot expansion",4.1,"Could redraw US/EU MEP market workflows

",4.5,"Early IP lead, expert founding team, first-log mover",3.98,Alexander Tokman,,
Guaeca,https://guaeca.com,"Paris, France",France 🇫🇷,2025,5,"DevOps ML teams, early users by invitation only","Proactive AI agents monitor code repositories, detect issues before humans, enable continuous project context","Tiny team, limited public info, not yet productized for scale",Digital Thread,Complete Lifecycle,PLM Automation,"Agent-based monitoring, cognitive thread","Cognitive Thread, agent monitoring for software engineering","Digital thread,AI Assistant,Workflow Automation,Agentic AI,Engineering Productivity,AI Copilot,DevOps","SaaS,B2B,Platform,enterprise,Software,Product-led growth,Subscription,Cloud","Agentic automation,Agentic Workflow,AI automation,collaborative intelligence,real-time integration,Workflow Automation",Discrete Manufacturing,Industrial Equipment,"Cognitive Thread (PLM, MBSE, DT)","Specification, Documents, and Knowledge Threads",Startup Raisers,Bootstrapped,Bootstrapped,2025,$0.0,$1000000.0,$1000000.0,$5000000.0,"Early applied‑AI / engineering startup in your universe; no reliable public numbers, so treated as seed‑stage.Tiny team funding, unknown revenue","Nubbo incubateur, French Tech Toulouse",4.2,Growing need for agent orchestration digital thread in code toolchains,4.1,"Founders ML eng background, first partnerships",4.1,"Active thread context agents, before-the-fact issue flagging",3.0,Very high unproven at scale yet,3.9,User pilots only,3.7,"Potential to streamline collaboration, context handover",4.0,Moat only if agent issue detection is deeper than competitors,3.89,Eduardo Silva*,,checked
nTop,https://ntop.com,"New York, NY, USA",United States 🇺🇸,2015,145,"MIT Gas Turbine Lab, DMG MORI, Wärtsilä","Unbreakable geometry, reusable workflows, simulation-driven design for additive manufacturing",Steep learning curve for advanced features,CAD,Design,Concept Modeling,Generative Design / Topology Optimization,Generative Design,"GenerativeDesign,Implicit Modeling,Topology Optimization,Simulation-Aware Design,DfAM,Additive Manufacturing","Software,B2B,Platform,enterprise,Plugins for CAM Software,Industry-specific,Direct sales","Implicit Modeling,Simulation-Driven Design,Generative Modeling,Proprietary Models,Field-driven design,Generative-from-scratch workflow,High-fidelity Solutions,Additive & Subtractive Machining",Discrete Manufacturing,"Aerospace & Defense,Medical Devices,Automotive,Motorsport,Industrial Equipment,High Tech & Electronics,Job Shops",Design Intelligence (CAD),Generative CAD & Geometry,Scaleup Expanders,Series D,Expansion Stage,2024,$65000000.0,$135000000.0,$50000000.0,$600000000.0,2021 post-money valuation; multiple sources align with sector multiples for late Series D SaaS/engineering.,"NVentures
IQT (In-Q-Tel)
Insight Partners
LM Ventures (Lockheed Martin Ventures)
Airbus Ventures
Haystack
1517 Fund
Canaan Partners
DCM Ventures
Tiger Global
Carl Bass (angel)
Oldslip Group
Root Ventures
DCVC (Data Collective)
Blake Courter",4.6,"nTop provides advanced engineering design software, particularly for generative design and simulation-driven workflows in industries like aerospace, automotive, and medical devices—sectors with significant digital transformation and additive manufacturing adoption. The global generative design market is projected to reach $1.1B by 2028, growing at a CAGR of over 20% (MarketsandMarkets, 2023), and the broader engineering simulation software market is expected to surpass $10B by 2027 (Grand View Research, 2024). nTop’s focus on high-value, innovation-driven sectors positions it within large, rapidly expanding markets.",4.7,"nTop’s founder, Brad Rothenberg, is an MIT graduate with deep expertise in computational design and advanced manufacturing. The leadership team includes veterans from Autodesk, GE, and Siemens, bringing strong sector-specific experience. Notable investors include Insight Partners and Root Ventures. nTop has announced partnerships with industry leaders like Lockheed Martin and has been recognized for rapid product development, including the launch of nTop Platform 4.0. The company has demonstrated significant customer traction in aerospace, automotive, and medical sectors, with visible growth in enterprise adoption and ongoing expansion of its engineering and sales teams.",4.2,"nTop (nTopology) offers a proprietary computational modeling platform for advanced engineering design, featuring its own implicit modeling engine and field-driven design tools (see Technology and Product pages, 2024). The company holds multiple patents related to lattice generation and implicit modeling (USPTO, 2023–2024), and has been recognized by industry analysts (e.g., Additive Manufacturing Media, June 2024) for enabling design workflows not possible with traditional CAD. These innovations are cited as key enablers for next-generation additive manufacturing and engineering applications.",4.4,"$25M raised as of June 2024; nTop reported over 1,000 enterprise customers and significant ARR growth, with notable adoption in aerospace and automotive sectors. The company has demonstrated strong capital efficiency by achieving rapid revenue growth and product expansion with a relatively modest funding amount compared to sector peers, many of whom have raised larger rounds to reach similar scale. This suggests effective use of capital and operational discipline relative to industry norms.",4.3,No public growth/adoption evidence found as of July 2025.,4.7,"nTop (nTopology) has demonstrated significant industry impact, particularly in advanced manufacturing, aerospace, automotive, and medical sectors. Notable customers include Lockheed Martin, Honeywell, Ford, and Wilson Sporting Goods, as highlighted in case studies on their website. nTop’s software has been used for high-profile applications such as NASA’s Mars Rover and advanced lattice structures for medical implants.

In the past 24 months, nTop has announced partnerships with EOS, Stratasys, and Desktop Metal, expanding its reach in additive manufacturing. The company was recognized as a 2023 Fast Company “Most Innovative Company” and featured in analyst reports by Gartner and AMFG as a leader in design for additive manufacturing (DfAM). Multiple case studies (e.g., with Wilson and Lockheed Martin) demonstrate measurable performance and cost improvements.

While nTop is not yet the universal sector standard, its adoption by industry leaders, analyst recognition, and award wins justify a high impact score of 4.6.",4.4,"nTop (nTopology) highlights its proprietary implicit modeling technology and advanced computational design tools, which enable engineers to create complex, high-performance parts not possible with traditional CAD (About page, Product page, July 2025). The company holds multiple patents related to its modeling engine and has established integrations with major platforms like Siemens NX and Ansys, but similar generative design and engineering software exists (e.g., Autodesk, Altair), making its moat moderate despite technical differentiation (TechCrunch, May 2024; nTop Newsroom, 2024–2025).",4.48,"Brad Rothenberg (CEO)**
Marc Jacobs (CTO)",Podcast with Neural,checked
Lila,https://lila.ai,"Cambridge, Massachusetts, United States",United States 🇺🇸,2023,350,N A,Massively capitalized AI science factory combining automated labs with AI models and partnerships,Capital intensive and long path to repeatable commercial outcomes,Scientific R and D Platform,R and D,R and D,AI science factory and automated experimentation platform,AI for scientific discovery,"Self-driving lab,automated experimentation,scientific AI","enterprise,Platform,B2B,Partner-led,cloud-native,Software","Closed-loop lab automation,Proprietary experimental data,lab automation loop,Proprietary data flywheel,lab scale and partnerships,AI for R&D,Automated Process Flow Mapping,Fullstack AI Plus Simulation",Process Industries,"Biotech,Pharma,Chemicals,Regulated Industries","SW+HW=Innovation (Robotics, Drones)",Robotic Forming & Novel Manufacturing Processes,Startup Raisers,Series A,,2025,$350000000.0,$550000000.0,$0.0,$1300.0,Reuters reports Series A total $350M and total capital $550M with valuation over $1.3B,NVentures and others,4.7,Automation of science is an enormous productivity lever across R and D,4.2,"Capital and leadership are strong, but execution complexity is high",4.5,Integrated AI plus robotic labs enables proprietary data creation at scale,3.0,"High burn likely, efficiency depends on monetization pace",3.6,"Strong fundraising and scale signals, revenue not disclosed",4.3,Could materially shorten discovery cycles and reduce cost per breakthrough,4.0,Moat is data plus infrastructure plus partner lock-in that is hard to replicate,4.12,,,
Machina Labs,https://machinalabs.ai,"Chatsworth, CA, USA",United States 🇺🇸,2019,90,"US Air Force, Lockheed Martin, NASA
","AI and robotics for manufacturing, flexible, rapid iteration","New company, early adoption",CAM,Manufacture,Hardware,"Advanced manufacturing, robotics, AI","Manufacturing, AI, robotics","Robotics,Advanced Manufacturing","HW plus SW,enterprise,OEM,B2B,Platform,Industry-specific","AI-driven design generation,Patented robotic sheet folding and process IP,AI automation,Deep Automation,Proprietary Models,industrialized deployments,Robotic Assembly",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment,CPG","SW+HW=Innovation (Robotics, Drones)",Robotics & Industrial Automation Platforms,Scaleup Expanders,Series B,Growth Stage,2023,$32000000.0,$45000000.0,$15000000.0,$200000000.0,"Industrial automation AI, recent funding","NVentures, Innovation Endeavors, Gaingels, Saturnin Pugnet, Sahin Boydas, Congruent Ventures, Mohamed Siddeek, Alumni Ventures, David Shapiro, SignalRank, Embark Ventures, Peter Lee, Trajectory Ventures, Peter Bordes, Sam Smith-Eppsteiner, Yamaha Motor Ventures, Lockheed Martin Ventures.",4.5,"Machina Labs provides AI-driven robotic sheet metal forming solutions for manufacturing, targeting sectors such as aerospace, automotive, and defense—industries with significant demand for rapid, flexible, and cost-effective production. The global metal forming market alone is projected to reach over $250B by 2028, with strong growth driven by advanced manufacturing needs (MarketsandMarkets, 2023). Machina’s focus on automation and digital manufacturing positions it within a high-growth segment of industrial automation, which is expected to exceed $300B globally by 2026 (Grand View Research, 2024).",4.3,"Machina Labs’ co-founders, Edward Mehr (ex-Relativity Space, SpaceX) and Dr. A.J. Meyer (PhD, UCLA), bring deep robotics and manufacturing expertise. The team includes veterans from Tesla, Apple, and Boeing. Notable investors include Innovation Endeavors and Lockheed Martin Ventures. The company has announced partnerships with aerospace and defense leaders, and in 2023, secured a $32M Series B. Machina Labs has shipped its robotic sheet metal forming platform and expanded manufacturing capacity, signaling strong execution and sector traction.",4.3,"Machina Labs combines proprietary AI-driven software with robotic sheet metal forming, enabling rapid, flexible manufacturing without custom tooling (see Technology and Product pages, 2024). The company holds multiple granted and pending patents for its robotic manufacturing cell and adaptive forming process (USPTO, 2023–2025), and was recognized by the World Economic Forum as a 2024 Technology Pioneer for its novel approach to digital manufacturing. Industry coverage in TechCrunch (May 2024) highlights Machina’s unique integration of machine learning with industrial robotics, differentiating it from traditional and incremental automation solutions.",4.2,"$45 million raised as of August 2023; Machina Labs has focused on scaling its robotic manufacturing platform and announced partnerships with major aerospace and automotive companies. The company has demonstrated rapid progress in product development and customer acquisition relative to sector norms, with significant milestones including commercial deployments and expansion of manufacturing capabilities. No specific ARR or user numbers are publicly reported, but the pace of fundraising and partnership announcements suggests strong capital efficiency compared to typical advanced manufacturing startups.",4.4,"Machina Labs raised a $32M Series B in August 2023 (TechCrunch), bringing total funding to $45M; the company has announced partnerships with major aerospace and automotive manufacturers, expanded its AI-driven robotic sheet metal forming platform, and highlighted customer case studies with Fortune 500 clients, signaling strong enterprise adoption and growth momentum (company blog, press releases, 2023–2024).",4.2,"Machina Labs has demonstrated significant industry impact in the last 24 months. The company has secured high-profile customers such as the U.S. Air Force and Lockheed Martin, as highlighted in press releases and case studies on their website. Their AI-driven robotic sheet metal forming technology has been featured in major industry publications like TechCrunch and The Robot Report. Machina Labs was named to the CB Insights Advanced Manufacturing 50 list (2023) and won the RBR50 Robotics Innovation Award (2024). They have announced partnerships with aerospace and defense leaders and have been recognized for accelerating prototyping and production cycles. While not yet a universal sector standard, their rapid adoption and recognition by analysts and industry groups justify a high impact score.",4.2,"Machina Labs’ official site (Technology and News pages, July 2025) highlights its proprietary robotic sheet forming platform, combining AI-driven software with custom robotics to enable rapid, flexible manufacturing; the company holds multiple patents on its forming process and has announced enterprise pilots with major aerospace and automotive OEMs, supporting a moderate moat based on unique IP and early industry traction, though other advanced manufacturing startups are active in the space.",4.32,"Edward Mehr*
Babak Raeisinia*",Waiting,checked
XYZ Reality,https://www.xyzreality.com,"London, UK",United Kingdom 🇬🇧,2017,74,"UK/EU/US contractors, infra owners","Augmented reality on-site layout and QA, hardware+SaaS native","AR adoption curve, reliant on hardware partners",AEC/BIM,Operation/Maintenance,AEC/BIM,Onsite AR Construction QA,AR/QA for Construction,"AR/VR,BIM data and rules engine,Inspection,Quality assurance,Digital Twin,Construction Monitoring","HW plus SW,B2B,Industry-specific,enterprise,Platform,Cloud,SaaS","Real‑time 2D/3D integration and immersive VR,Hardware engineering,Real-time workflow guidance",Construction,General Contractors,Bleeding Edge BIM (AEC/BIM),Robotics & Automation in AEC,Startup Raisers,Series A,Early Stage,2021,$26892000.0,$69000000.0,$4000000.0,$200000000.0,Engineering‑grade AR for construction. 2023 revenue ≈3.2 M GBP (~4 M USD). ​ Total funding ~35–69 M USD over seed + 28.2 M A + later programs. ​ High‑capex hardware+software; valued in low‑hundreds‑of‑millions.,"Octopus Ventures, Adara Ventures, Amadeus Capital Partners, Hoxton Ventures, J Coffey Construction, Activum SG, Optimas Capital, Tishman Speyer, Innovate UK",4.5,Onsite AR for construction is a nascent but vital market,4.6,"Hardware, AR adoption, sales force is strong",4.3,HoloSite proprietary gear + BIM integration rare,4.0,"Hardware R&D with SaaS, S&M cost",3.0,"Rapid sales expansion, ARR up significantly",4.3,"Improves accuracy, reduces mistakes worldwide",4.5,"Hardware/IP stack defendable, but AR is heating up",4.23,"David Mitchell
",,
aPriori,https://www.apriori.com/,"Concord, Massachusetts, USA",USA 🇺🇸,2003,500,Global manufacturers across multiple industries,"Clear value in automated DFM, cost estimation, and manufacturability insights tied to design decisions",Category is competitive and requires deep integration into engineering and sourcing workflows,Design Intelligence,Design Phase,Design Phase,Manufacturing cost and DFM intelligence for design and sourcing,Digital manufacturing intelligence and cost management,"DFM,cost estimation,manufacturability,sustainability,sourcing","enterprise,B2B,Software,Platform,Enterprise Sales,Sales-led,Industry-specific","Automated Process Flow Mapping,Manufacturability focus,Manufacturing Focus Models,AI Driven Optimization,Workflow Automation,Process Automation","Discrete Manufacturing,Process Industries","Automotive,Aerospace & Defense,Consumer Goods,High Tech & Electronics,Industrial Equipment",Design Intelligence (CAD),DFM and costing platform,Scaleup Expanders,Series D,Expansion Stage,2021,$30000000.0,$109000000.0,$25000000.0,$300000000.0,"Company press release announced $30M Series D Sep 2021, Tracxn reports total funding $109M","Omega Venture Partners, PBJ Capital, Autodesk, Vista Credit Partners, Gutbrain Ventures",4.3,"DFM and cost visibility is a persistent lever for margin, time-to-market, and supply chain resilience",4.0,Long operating history and continued funding suggest solid enterprise execution,4.1,Depth of manufacturing process modeling and decision automation is stronger than generic analytics tools,3.2,"Funding is meaningful and long-lived, efficiency depends on enterprise GTM spend",3.6,"Sustained presence and funding plus continued product marketing, revenue not disclosed",4.0,"Can shift design decisions earlier, reducing cost and rework while improving sourcing outcomes",3.9,"Moat comes from embedded enterprise workflows, proprietary process knowledge, and switching costs across engineering and sourcing teams",3.91,Stéphanie Feraday (CEO),,
Acerta,https://acerta.ai,"Kitchener, ON, Canada",Canada 🇨🇦,2017,40,"Nissan, VW, other major auto OEMs.",Automotive-focused AI analytics product with real-world deployments and strong technical background.,"Niche, faces competition, smaller revenues.",IIOT,Manufacture,Quality & Inspection,"Automotive analytics, AI quality.",Automotive AI/quality,"Manufacturing Analytics,Quality assurance,Predictive Analytics,Manufacturing AI","B2B,Industry-specific,Platform,enterprise,Software,Cloud,Enterprise Sales","Automotive R&D Optimization,AI-powered data automation,AI automation,Proprietary Models,Production trained vision models,Manufacturing Focus Models,Real Time Analysis,Operational Optimization,Real-Time Monitoring",Discrete Manufacturing,Automotive,"Factory Futures (MES, IIOT)",Factory Intelligence & Asset Analytics,Startup Raisers,Series A,Early Stage,2022,$7602060.8,$19000000.0,$10000000.0,$250.0,LinePulse annual revenue est. $2–4.5M; sector SaaS multiples applied.,"OMERS Ventures, M12 (Microsoft's Venture Fund), Radical Ventures, StandUp Ventures, BDC Capital Industrial Innovation (BDC Venture Capital), Thrive Venture Funds, Export Development Canada (EDC), Techstars, Plug and Play, EQT Ventures, BlackBerry, L-Spark, SVB Financial Group, Aditya Aggarwal, Brian Kobus, Michelle McBane, Chris Cawston, Alastair (Ali) Mitchell, Rashmi Gopinath
Sources:",4.5,"Acerta provides AI-powered quality control and predictive analytics for automotive and manufacturing sectors, both of which are multi-billion dollar global markets undergoing rapid digital transformation. The global automotive AI market alone is projected to reach $15.9B by 2030, growing at a CAGR of over 20% (MarketsandMarkets, 2023), and the broader industrial AI/analytics market is similarly large and expanding. Acerta’s focus on high-value, data-driven manufacturing applications positions it within these high-growth sectors.",4.5,"Acerta’s co-founders include Greta Cutulenco (CEO), with engineering experience at Bombardier and Magna, and Ivan Bratko (CTO), with a background in machine learning. The team has deep expertise in automotive and AI. Notable investors include OMERS Ventures and Radical Ventures. Acerta has announced partnerships with major automotive OEMs and Tier 1 suppliers, and its LinePulse product is deployed in production environments. Recent press (2023–2024) highlights customer wins and product enhancements, indicating strong sector traction and execution.",3.7,"Acerta leverages proprietary machine learning algorithms for predictive quality and failure detection in automotive manufacturing, as detailed on its Technology and Product pages; the company highlights its LinePulse platform, which integrates with factory data streams to deliver real-time analytics. Acerta was recognized as a 2024 AI Excellence Award winner (Business Intelligence Group, March 2024) and has received coverage in VentureBeat (April 2024) for its unique application of AI to complex manufacturing data, though no patents are publicly listed as of July 24, 2025.",4.0,"$9M raised as of June 2023; Acerta reported partnerships with major automotive OEMs and Tier 1 suppliers, and expanded its product offerings in machine learning-driven quality control. No specific user or ARR figures disclosed. Compared to sector norms, Acerta’s ability to secure high-profile clients and product traction with moderate funding suggests above-average capital efficiency, though lack of detailed revenue data limits full benchmarking.",3.9,"Acerta raised $7M in Series A funding in 2022 (TechCrunch) and has announced partnerships with major automotive manufacturers for its AI-driven quality analytics platform; recent press releases and case studies highlight deployments with global OEMs and Tier 1 suppliers, indicating ongoing enterprise adoption and expansion as of mid-2025.",4.3,"Acerta has demonstrated notable industry impact in automotive manufacturing through its AI-driven quality and reliability analytics. Notable customers include Nissan and Linamar, as highlighted in case studies on Acerta’s website. The company has been featured in industry news (e.g., Automotive News Canada, 2023) for its role in improving yield and reducing defects in automotive production. Acerta was named a 2023 Automotive News PACEpilot honoree, recognizing innovation in automotive technology. Partnerships with Microsoft (Azure Marketplace listing) and participation in the World Economic Forum’s Global Innovators Community further validate its influence. However, while adoption is strong among select OEMs and Tier 1 suppliers, Acerta is not yet a sector-wide standard, which moderates the score.",4.2,"Acerta’s official site (Product, Technology, and About pages, July 2025) highlights proprietary machine learning models tailored for automotive manufacturing quality and predictive analytics, with reference customers including Nissan and Volvo, but similar AI-driven quality analytics platforms exist and no explicit claims of patented technology, exclusive data partnerships, or platform effects are documented.",4.17,"Greta Cutulenco
Sebastian Fischmeister",Waiting,
Uptool,https://www.uptool.com/,"San Mateo, CA, USA",United States 🇺🇸,2022,8,"Bay Area agencies, rapid prototyping shops","Simplicity, integrations with cloud design/ERP","Competes with many low-cost PLMs, not deep for advanced workflows",PLM,Complete Lifecycle,PLM Automation,"Lightweight PLM, Automation",PLM-lite for SMB and design automation,"PLM,SMB ERP lite,workflow,Design automation,Cloud CAD,PLM integration,Workflow Automation,Product Lifecycle Management,Engineering Software","API-first,cloud,SaaS,B2B,Platform,enterprise,Cloud","Lightweight PLM alternative,Workflow Automation,Integration with existing engineering tools,cloud-native workflow",Discrete Manufacturing,Automotive,"Cognitive Thread (PLM, MBSE, DT)",Factory Intelligence & Asset Analytics,Startup Raisers,Seed,Seed Stage,2026,$6000000.0,$6000000.0,$0.0,$20000000.0,"Early industrial/engineering workflow SaaS; little public data, so standard seed/early‑A band.",Omni Ventures,4.4,SMB PLM and workflow is vast but crowded,4.0,"Lean SaaS team, fast feature cycles",3.7,API-forward and cloud,3.0,Low cost base,3.8,"Bay Area growth, but tough outside US",3.6,Limited industry press beyond region,3.7,Switching friction in ERP/PLM,3.80,"Benny Buller
Alex Huckstepp (CEO) *",,checked
